Sigla,Nome do evento em inglês,Nome do evento,Estrato
WEIHC,Workshop sobre Educação em IHC,Workshop on Education in HCI,B4
WER,Workshop on Requirements Engineering,Workshop sobre Engenharia de Requisitos,B2
WETICE,IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises,Conferência Internacional IEEE sobre Tecnologias Habilitadoras: Infraestrutura para Empresas Colaborativas,A4
WF-IoT,IEEE World Forum on Internet of Things,Fórum Mundial IEEE sobre Internet das Coisas,A2
WFCS,IEEE World Conference on Factory Communication Systems,Conferência Mundial IEEE sobre Sistemas de Comunicação de Fábrica,A4
WFIBRE,Workshop do testbed FIBRE,FIBRE testbed Workshop,B4
WG,International Workshop on Graph-Theoretic Concepts in Computer Science,Workshop Internacional sobre Conceitos de Teoria de Grafos em Ciência da Computação,A3
WGRS,Workshop de Gerência e Operação de Redes e Serviços,Workshop on Management and Operation of Networks and Services,B4
WI-IAT,IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,Conferência Internacional IEEE/WIC/ACM sobre Inteligência Web e Tecnologia de Agentes Inteligentes,A2
WICS,Workshop sobre as Implicações da Computação na Sociedade,Workshop on the Implications of Computing in Society,B3
WIDAT,"Workshop de informação, dados e tecnologia","Workshop on information, data and technology",B4
WIDE,Workshop on Interactions with Human Experiences,Workshop sobre Interações com Experiências Humanas,B4
WIE,Workshop de Informática na Escola,Workshop on Informatics in Education,A4
WIFS,IEEE Workshop on Information Forensics and Security,Workshop IEEE sobre Forense e Segurança da Informação,A3
WIMOB,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications","Conferência Internacional IEEE sobre Computação, Redes e Comunicações Sem Fio e Móveis",A3
WIPLAY,Workshop sobre Interação e Pesquisa de Usuários no Desenvolvimento de Jogos,Workshop on Interaction and User Research in Game Development,B4
WISE,International Conference on Web Information Systems Engineering,Conferência Internacional sobre Engenharia de Sistemas de Informação Web,A3
WIT,Women in Information Technology,Mulheres na Tecnologia da Informação,B1
WMNC,Joint IFIP Wireless and Mobile Networking Conference,Conferência Conjunta IFIP de Redes Sem Fio e Móveis,B4
WOCC,Wireless and Optical Communications Conference,Conferência de Comunicações Sem Fio e Ópticas,A4
WOLLIC,"International Workshop on Logic, Language, Information and Computation","Workshop Internacional sobre Lógica, Linguagem, Informação e Computação",B1
WONS,Wireless On-demand Network systems and Services Conference,Conferência sobre Sistemas e Serviços de Rede Wireless On-demand,B3
WORKS,Workshop on Workflows in Support of Large-Scale Science,Workshop sobre Fluxos de Trabalho em Apoio à Ciência em Larga Escala,B3
WorldCIST,World Conference on Information Systems and Technologies,Conferência Mundial sobre Sistemas e Tecnologias de Informação,A2
WORLDS4,"World Conference on Smart Trends in Systems, Security and Sustainability","Conferência Mundial sobre Tendências Inteligentes em Sistemas, Segurança e Sustentabilidade",A3
WOSP,International Workshop on Mining Scientific Publications,Workshop Internacional sobre Mineração de Publicações Científicas,B3
WPEIF,Workshop de Pesquisa Experimental da Internet do Futuro,Workshop on Experimental Research of the Future Internet,B4
WPERFORMANCE,Workshop em Desempenho de Sistemas Computacionais e de Comunicação,Workshop on Performance of Computer and Communication Systems,B4
WPES,Annual ACM workshop on Privacy in the electronic society,Workshop Anual ACM sobre Privacidade na Sociedade Eletrônica,A4
WSC,Winter Simulation Conference,Conferência de Simulação de Inverno,A3
WTF,Workshop de Testes e Tolerância a Falhas,Workshop on Testing and Fault Tolerance,B4
WVC,Workshop de Visão Computacional,Computer Vision Workshop,B3
WWW,The ACM Web Conference,A Conferência Web ACM,A1
XP,International Conference on Agile Software Development,Conferência Internacional sobre Desenvolvimento Ágil de Software,A3
